"UOB IPAD MINI รวม 10 งวด 14,900 บาท",,,,,UOB กดผ่อนจากที่โดนัทฝากให้จ่ายกดบัตร รวม 10 27051 บาท,,,
เดือน,งวด,ยอด,สถานะ,,เดือน,งวด,ยอด,สถานะ
07/2568,1 รวมดอก,"1,490",TRUE,,12/2568,1 รวมดอก,"2,780",TRUE
08/2568,2 รวมดอก,"1,490",TRUE,,01/2569,2 รวมดอก,"2,780",TRUE
09/2568,3 รวมดอก,"1,490",TRUE,,02/2569,3 รวมดอก,"2,780",TRUE
10/2568,4 รวมดอก,"1,490",TRUE,,03/2569,4 รวมดอก,"2,780",FALSE
11/2568,5 รวมดอก,"1,490",TRUE,,04/2569,5 รวมดอก,"2,780",FALSE
12/2568,6 รวมดอก,"1,490",TRUE,,05/2569,6 รวมดอก,"2,780",FALSE
01/2569,7 รวมดอก,"1,490",TRUE,,06/2569,7 รวมดอก,"2,780",FALSE
02/2569,8 รวมดอก,"1,490",TRUE,,07/2569,8 รวมดอก,"2,780",FALSE
03/2569,9 รวมดอก,"1,490",FALSE,,08/2569,9 รวมดอก,"2,780",FALSE
04/2569,10 รวมดอก,"1,490",FALSE,,09/2569,10 รวมดอก,"2,780",FALSE
เหลือจ่ายทั้งหมด,,,"2,980",,เหลือจ่ายทั้งหมด,,,"19,460"
,,,,,,,,
,,,,,,,,
UOB DJI NANO รวม 10 งวด 10700 บาท,,,,,,,,
เดือน,งวด,ยอด,สถานะ,,,,,
10/2568,1 รวมดอก,"1,070",TRUE,,,,,
11/2568,2 รวมดอก,"1,070",TRUE,,,,,
12/2568,3 รวมดอก,"1,070",TRUE,,,,,
01/2569,4 รวมดอก,"1,070",TRUE,,,,,
02/2569,5 รวมดอก,"1,070",TRUE,,,,,
03/2569,6 รวมดอก,"1,070",FALSE,,,,,
04/2569,7 รวมดอก,"1,070",FALSE,,,,,
05/2569,8 รวมดอก,"1,070",FALSE,,,,,
06/2569,9 รวมดอก,"1,070",FALSE,,,,,
07/2569,10 รวมดอก,"1,070",FALSE,,,,,
เหลือจ่ายทั้งหมด,,,"5,350",,,,,
,,,,,,,,
,,,,,,,,
UOB รองเท้า asics รวม 10 งวด 4275 บาท,,,,,,,,
เดือน,งวด,ยอด,สถานะ,,,,,
11/2568,1 รวมดอก,428,TRUE,,,,,
12/2568,2 รวมดอก,428,TRUE,,,,,
01/2569,3 รวมดอก,428,TRUE,,,,,
02/2569,4 รวมดอก,428,TRUE,,,,,
03/2569,5 รวมดอก,428,FALSE,,,,,
04/2569,6 รวมดอก,428,FALSE,,,,,
05/2569,7 รวมดอก,428,FALSE,,,,,
06/2569,8 รวมดอก,428,FALSE,,,,,
07/2569,9 รวมดอก,428,FALSE,,,,,
08/2569,10 รวมดอก,428,FALSE,,,,,
เหลือจ่ายทั้งหมด,,,"2,565",,,,,
,,,,,,,,
,,,,,,,,
UOB โยจิ โรงบาลทองหล่อ รวม 10 10899.61 บาท,,,,,,,,
เดือน,งวด,ยอด,สถานะ,,,,,
11/2568,1 รวมดอก,"1,090",TRUE,,,,,
12/2568,2 รวมดอก,"1,090",TRUE,,,,,
01/2569,3 รวมดอก,"1,090",TRUE,,,,,
02/2569,4 รวมดอก,"1,090",TRUE,,,,,
03/2569,5 รวมดอก,"1,090",FALSE,,,,,
04/2569,6 รวมดอก,"1,090",FALSE,,,,,
05/2569,7 รวมดอก,"1,090",FALSE,,,,,
06/2569,8 รวมดอก,"1,090",FALSE,,,,,
07/2569,9 รวมดอก,"1,090",FALSE,,,,,
08/2569,10 รวมดอก,"1,090",FALSE,,,,,
เหลือจ่ายทั้งหมด,,,"6,540",,,,,
,,,,,,,,
,,,,,,,,
UOB รวม แต่ละเดือนที่ต้องจ่าย,,,,,,,,
เดือน,ยอด,,,,,,,
07/2568,"1,490",,,,,,,
08/2568,"1,490",,,,,,,
09/2568,"1,490",,,,,,,
10/2568,"2,560",,,,,,,
11/2568,"4,077",,,,,,,
12/2568,"6,857",,,,,,,
01/2569,"6,857",,,,,,,
02/2569,"6,857",,,,,,,
03/2569,"6,857",,,,,,,
04/2569,"6,857",,,,,,,
05/2569,"5,367",,,,,,,
06/2569,"5,367",,,,,,,
07/2569,"5,367",,,,,,,
08/2569,"4,297",,,,,,,
09/2569,"2,780",,,,,,,
10/2569,0,,,,,,,
